Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
116,Howard,33,23,10,.697,-4.64,-11.85,11,3,11,4,7,6,2556,2236,69.9,96.5,.407,.345,.514,46.4,45.5,8.5,10.5,.470,18.6,30.7,.288
117,Idaho,35,21,14,.600,-0.05,-2.70,9,9,9,4,7,9,2753,2540,69.6,103.9,.379,.369,.537,46.9,46.6,9.0,8.6,.494,13.8,23.5,.280
118,Idaho State,33,13,20,.394,-5.54,-1.61,5,13,8,6,3,12,2459,2513,66.9,113.4,.360,.374,.578,46.9,48.5,9.8,8.9,.540,13.2,27.0,.274
119,Illinois,32,24,8,.750,26.45,11.89,15,5,14,3,8,2,2700,2234,66.2,103.8,.206,.422,.503,43.3,51.4,8.2,8.5,.476,10.1,27.0,.151
120,Illinois State,32,20,12,.625,6.30,0.85,12,8,13,2,5,7,2404,2190,67.4,101.1,.324,.351,.524,47.5,50.9,8.8,8.4,.494,14.5,25.4,.222
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
121,Illinois-Chicago,34,19,15,.559,3.81,0.46,12,8,9,5,7,8,2567,2379,67.2,102.6,.331,.459,.537,47.2,66.1,9.4,10.2,.499,17.3,31.2,.245
122,Incarnate Word,31,12,19,.387,-7.09,-2.51,7,15,9,6,2,12,2302,2285,66.3,111.2,.399,.354,.566,48.7,51.1,9.0,9.2,.530,14.0,30.3,.286
123,Indiana,32,18,14,.563,16.70,10.70,9,11,14,4,3,8,2501,2309,66.6,107.1,.370,.368,.536,50.0,49.0,8.2,10.1,.490,13.1,29.3,.280
124,Indiana State,32,11,21,.344,-2.70,0.70,4,16,8,7,3,12,2354,2383,68.9,106.0,.282,.347,.528,50.6,43.5,11.5,12.7,.502,13.2,30.3,.194
125,Iona,32,18,14,.563,-7.27,-7.99,10,10,11,3,6,8,2363,2340,68.4,104.8,.288,.407,.523,51.2,56.5,10.7,11.1,.489,14.2,31.2,.211
126,Iowa,33,21,12,.636,19.00,9.76,10,10,14,3,3,8,2482,2177,63.4,103.7,.391,.391,.565,49.2,51.0,8.0,8.3,.527,18.6,28.0,.286
127,Iowa State,34,27,7,.794,27.15,10.50,12,6,16,1,5,5,2781,2215,68.2,95.6,.279,.428,.525,46.5,54.5,9.8,9.6,.495,19.8,28.1,.199
128,IU Indy,32,7,25,.219,-12.45,-4.15,3,17,5,9,2,15,2673,2825,76.1,115.5,.464,.353,.613,54.1,52.7,10.0,7.8,.577,17.7,34.7,.343
129,Jackson State,33,12,21,.364,-19.48,-5.96,10,8,7,3,4,15,2318,2764,71.0,117.0,.419,.397,.572,54.2,60.9,11.1,12.4,.530,13.9,37.2,.313
130,Jacksonville,32,12,20,.375,-10.72,-5.05,7,11,8,4,3,14,2339,2349,66.0,110.3,.423,.353,.565,47.6,50.0,10.0,7.2,.529,13.7,28.0,.297
